Empresa,Capital,Tamanho,Patrimônio Líquido,Ativo Circulante,Passivo Circulante,Ativo Permanente,Ativo Realizável a Longo Prazo,Passivo Exigível a Longo Prazo,Valor Líquido do Patrimônio
1,Capital Aberto,Pequena,63685,30475,41400,79300,5004,40098,0.0461
2,Capital Fechado,Pequena,89430,53000,43125,128100,25020,17604,0.0758
3,Capital Fechado,Média,81300,35775,74175,125050,43368,33252,95
4,Capital Fechado,Pequena,79945,30475,31050,118950,8340,26406,0.0189
5,Capital Aberto,Grande,105690,60950,58650,68625,7506,58680,0.0245
6,Capital Fechado,Média,65040,25175,44850,147925,27522,18582,Muit
7,Capital Aberto,Pequena,89430,59625,60375,115900,20016,44988,0.0299
8,Capital Fechado,Média,69105,29150,48300,105225,35028,12714,0.0013
9,Capital Aberto,Grande,63685,39750,60375,115900,13344,53790,-0.0108
10,Capital Fechado,Média,81300,42400,63825,132675,29190,39120,-0.0129
11,Capital Aberto,Pequena,65040,37100,34500,88450,13344,23472,0.0067
12,Capital Aberto,Média,75880,33125,51750,126575,18348,38142,0.0323
13,Capital Fechado,Pequena,51490,18550,36225,91500,11676,27384,0.0486
14,Capital Aberto,Pequena,77235,49025,46575,91500,12510,36186,0.0666
15,Capital Aberto,Grande,90785,34450,51750,102175,10842,45966,0.0773
16,Capital Aberto,Grande,63685,22525,46575,103700,16680,33252,0.0124
17,Capital Aberto,Média,69105,38425,62100,73200,34194,31296,0.0275
18,Capital Aberto,Média,58265,19875,58650,94550,15012,47922,0.0602
19,Capital Aberto,Grande,82655,51675,56925,89975,11676,51834,0.0965
20,Capital Aberto,Grande,90785,34450,51750,103700,10842,45966,0.0047
21,Capital Aberto,Média,54200,23850,36225,96075,7506,32274,0.0163
22,Capital Aberto,Pequena,33875,22525,20700,79300,3336,33252,0.0268
23,Capital Aberto,Grande,96205,45050,60375,128100,33360,29340,0.0302
24,Capital Fechado,Pequena,65040,33125,32775,109800,12510,23472,0.0028
25,Capital Aberto,Média,65040,34450,56925,57950,11676,49878,0.0005
26,Capital Aberto,Grande,78590,37100,58650,71675,17514,44988,0.0052
27,Capital Fechado,Pequena,65040,33125,32775,109800,12510,23472,0.0155
28,Capital Aberto,Grande,82655,51675,55200,102175,10842,50856,0.0036
29,Capital Aberto,Grande,47425,22525,53475,82350,23352,34230,0.0086
30,Capital Fechado,Média,74525,39750,67275,128100,30858,40098,0.0145
31,Capital Fechado,Pequena,71815,39750,53475,122000,26688,29340,0.0233
32,Capital Aberto,Grande,93495,42400,56925,125050,31692,27384,0.0073
33,Capital Aberto,Grande,79945,31800,63825,70150,16680,50856,0.0102
34,Capital Fechado,Pequena,77235,45050,60375,128100,30858,33252,0.0155
35,Capital Fechado,Pequena,46070,14575,29325,94550,8340,23472,-0.0014
36,Capital Fechado,Pequena,60975,31800,43125,115900,27522,17604,0.0072
37,Capital Fechado,Média,78590,33125,63825,141825,33360,35208,8
38,Capital Aberto,Grande,73170,34450,41400,111325,7506,39120,0.0137
39,Capital Fechado,Pequena,73170,34450,18975,135725,17514,35850,0.0148
40,Capital Fechado,Pequena,60975,29150,36225,134200,16680,23472,0.03
41,Capital Fechado,Pequena,62330,33125,44850,117425,28356,18582,0.0552
42,Capital Aberto,Grande,105690,60950,58650,68625,7506,57702,0.0601
43,Capital Aberto,Grande,60975,17225,62100,94550,19182,47922,0.0596
44,Capital Aberto,Média,63685,33125,53475,56425,10842,48900,0.0007
45,Capital Fechado,Pequena,50135,22525,41400,129625,21684,19560,0.0094
46,Capital Aberto,Grande,62330,18550,63825,96075,20850,48900,0.0089
47,Capital Aberto,Grande,60975,42400,44850,57950,15846,30318,-0.0033
48,Capital Fechado,Média,75880,30475,62100,138775,32526,33252,-0.0062
49,Capital Aberto,Grande,60975,31800,51750,102175,1668,56724,-0.0413
